"Ministry Of Defence
Department Of Defence
Military Engineer Services Cwe Dinjan N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,22-11-2018 04:44:pm,03-12-2018 11:00:am,Bid Award,GEM/2018/B/124334,https://bidplus.gem.gov.in/showbidDocument/893754,893754
"Ministry Of Defence
Department Of Defence
Military Engineer Services Cwe Dinjan N/a",Power Cable For Direct Burial Xlpe Ugac Cable,200,22-11-2018 04:50:pm,03-12-2018 11:00:am,Bid Award,GEM/2018/B/124339,https://bidplus.gem.gov.in/showbidDocument/893803,893803
"Ministry Of Defence
Department Of Defence
Military Engineer Services Cwe Dinjan N/a",Power Cable For Direct Burial Xlpe Ugac Cable,120,22-11-2018 04:55:pm,03-12-2018 11:00:am,Bid Award,GEM/2018/B/124347,https://bidplus.gem.gov.in/showbidDocument/893866,893866
"Ministry Of Railways
Na
Office Of The Principal Chief Material Manager,north Eastern Railway, Gorakhpur N/a",Power Cable For Direct Burial Xlpe Ugac Cable,37660,22-11-2018 05:59:pm,03-12-2018 11:00:am,Bid Award,GEM/2018/B/124375,https://bidplus.gem.gov.in/showbidDocument/894069,894069
"Ministry Of Railways
Na
Office Of The Principal Chief Material Manager,north Eastern Railway, Gorakhpur N/a",Power Cable For Direct Burial Xlpe Ugac Cable,26230,12-12-2018 01:35:am,17-12-2018 11:30:am,Not Evaluated,GEM/2018/B/124406,https://bidplus.gem.gov.in/showbidDocument/894293,894293
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,800,16-11-2018 03:16:pm,30-11-2018 06:00:pm,Financial Evaluation,GEM/2018/B/121251,https://bidplus.gem.gov.in/showbidDocument/870003,870003
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1600,16-11-2018 03:59:pm,30-11-2018 02:00:pm,Financial Evaluation,GEM/2018/B/121318,https://bidplus.gem.gov.in/showbidDocument/870493,870493
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,120,19-12-2018 05:29:am,24-12-2018 11:00:am,Not Evaluated,GEM/2018/B/121133,https://bidplus.gem.gov.in/showbidDocument/869107,869107
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,800,19-12-2018 05:25:am,24-12-2018 11:00:am,Not Evaluated,GEM/2018/B/121167,https://bidplus.gem.gov.in/showbidDocument/869373,869373
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,500,14-12-2018 01:52:am,18-12-2018 02:00:pm,Not Evaluated,GEM/2018/B/121298,https://bidplus.gem.gov.in/showbidDocument/870346,870346
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,1500,19-11-2018 04:48:pm,30-11-2018 11:00:am,Technical Evaluation,GEM/2018/B/121317,https://bidplus.gem.gov.in/showbidDocument/870486,870486
"Ministry Of Railways
Na
Eastern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,600,14-12-2018 01:54:am,18-12-2018 02:00:pm,Not Evaluated,GEM/2018/B/121348,https://bidplus.gem.gov.in/showbidDocument/870724,870724
"Ministry Of Railways
Na
Southern Railway N/a",Power Cable For Direct Burial Xlpe Ugac Cable,5775,19-11-2018 04:22:pm,30-11-2018 11:00:am,RA Award,GEM/2018/B/122568,https://bidplus.gem.gov.in/showbidDocument/880041,880041
